id,Name,Year,Percent of graduates with debt,Average debt of graduates,Per capita debt of graduates,Full-time freshmen who received any student loans (#),% of full-time freshmen who received any student loans,Average amount of student loans received by full-time freshmen who borrowed,Tuition and fees (in-district/in-state),Graduation rate (within 150% of normal time),Origin of data
1,"Alabama - Private, for-profit",2016-17,,,,,,,11737,,CollegeInSight_Explore_CA.csv
2,"Alabama - Private, for-profit",2015-16,,,,1341,0.79,8344,12797,0.26,CollegeInSight_Explore_CA.csv
3,"Alabama - Private, for-profit",2014-15,,,,1710,0.8,8033,12490,0.35,CollegeInSight_Explore_CA.csv
4,"Alabama - Private, for-profit",2013-14,,,,2092,0.8,8046,12124,0.42,CollegeInSight_Explore_CA.csv
5,"Alabama - Private, for-profit",2012-13,,,,2291,0.73,6968,12742,0.5,CollegeInSight_Explore_CA.csv
6,"Alabama - Private, for-profit",2011-12,,,,2180,0.81,7757,13489,0.52,CollegeInSight_Explore_CA.csv
7,"Alabama - Private, for-profit",2010-11,,,,3513,0.89,7802,16744,0.52,CollegeInSight_Explore_CA.csv
8,"Alabama - Private, for-profit",2009-10,,,,4053,0.68,7218,15217,0.47,CollegeInSight_Explore_CA.csv
9,"Alabama - Private, nonprofit",2016-17,0.6,28696,17217,,,,22779,,CollegeInSight_Explore_CA.csv
10,"Alabama - Private, nonprofit",2015-16,0.58,29327,17009,3035,0.63,6506,21440,0.49,CollegeInSight_Explore_CA.csv
11,"Alabama - Private, nonprofit",2014-15,0.66,27876,18465,3585,0.71,6130,20361,0.47,CollegeInSight_Explore_CA.csv
12,"Alabama - Private, nonprofit",2013-14,0.7,28166,19710,3305,0.68,6935,19856,0.45,CollegeInSight_Explore_CA.csv
13,"Alabama - Private, nonprofit",2012-13,0.63,28267,17892,3525,0.7,6973,18748,0.46,CollegeInSight_Explore_CA.csv
14,"Alabama - Private, nonprofit",2011-12,0.75,26067,19565,3264,0.65,6756,17798,0.46,CollegeInSight_Explore_CA.csv
15,"Alabama - Private, nonprofit",2010-11,0.69,23435,16109,3504,0.72,7149,16902,0.45,CollegeInSight_Explore_CA.csv
16,"Alabama - Private, nonprofit",2009-10,0.64,22383,14359,3408,0.65,6835,16787,0.45,CollegeInSight_Explore_CA.csv
17,Alabama - Public,2016-17,0.5,32307,16153,,,,7672,,CollegeInSight_Explore_CA.csv
18,Alabama - Public,2015-16,0.48,31612,15174,15255,0.39,7425,7403,0.39,CollegeInSight_Explore_CA.csv
19,Alabama - Public,2014-15,0.49,29439,14571,14948,0.39,7068,7033,0.37,CollegeInSight_Explore_CA.csv
20,Alabama - Public,2013-14,0.51,29706,15280,14360,0.38,6915,6718,0.35,CollegeInSight_Explore_CA.csv
21,Alabama - Public,2012-13,0.53,28994,15365,14620,0.38,6835,6444,0.33,CollegeInSight_Explore_CA.csv
22,Alabama - Public,2011-12,0.5,26544,13176,14817,0.39,6183,5982,0.34,CollegeInSight_Explore_CA.csv
23,Alabama - Public,2010-11,0.51,25920,13240,13707,0.35,6872,5307,0.35,CollegeInSight_Explore_CA.csv
24,Alabama - Public,2009-10,0.55,25388,13949,12875,0.33,6740,4599,0.34,CollegeInSight_Explore_CA.csv
25,Alabama - Total,2016-17,0.5,31899,15950,,,,9245,,CollegeInSight_Explore_CA.csv
26,Alabama - Total,2015-16,0.5,31275,15638,19631,0.43,7345,9055,0.39,CollegeInSight_Explore_CA.csv
27,Alabama - Total,2014-15,0.52,29153,15129,20243,0.44,6983,8690,0.38,CollegeInSight_Explore_CA.csv
28,Alabama - Total,2013-14,0.54,29425,15903,19757,0.44,7038,8439,0.36,CollegeInSight_Explore_CA.csv
29,Alabama - Total,2012-13,0.54,28895,15661,20436,0.44,6874,8050,0.36,CollegeInSight_Explore_CA.csv
30,Alabama - Total,2011-12,0.53,26450,14074,20261,0.44,6445,7519,0.37,CollegeInSight_Explore_CA.csv
31,Alabama - Total,2010-11,0.54,25463,13651,20724,0.43,7077,6968,0.37,CollegeInSight_Explore_CA.csv
32,Alabama - Total,2009-10,0.56,24821,14017,20336,0.4,6851,6290,0.37,CollegeInSight_Explore_CA.csv
33,"Alaska - Private, for-profit",2016-17,,,,,,,,,CollegeInSight_Explore_CA.csv
34,"Alaska - Private, for-profit",2015-16,,,,1045,0.79,9025,20137,0.53,CollegeInSight_Explore_CA.csv
35,"Alaska - Private, for-profit",2014-15,,,,640,0.79,7593,19532,0.53,CollegeInSight_Explore_CA.csv
36,"Alaska - Private, for-profit",2013-14,,,,1094,0.78,8645,19882,0.55,CollegeInSight_Explore_CA.csv
37,"Alaska - Private, for-profit",2012-13,,,,413,0.56,5222,19700,0.47,CollegeInSight_Explore_CA.csv
38,"Alaska - Private, for-profit",2011-12,,,,831,0.85,8832,17725,0.6,CollegeInSight_Explore_CA.csv
39,"Alaska - Private, for-profit",2010-11,,,,595,0.57,7874,17750,0.77,CollegeInSight_Explore_CA.csv
40,"Alaska - Private, for-profit",2009-10,,,,536,0.69,7320,17750,0.77,CollegeInSight_Explore_CA.csv
41,"Alaska - Private, nonprofit",2016-17,,,,,,,14262,,CollegeInSight_Explore_CA.csv
42,"Alaska - Private, nonprofit",2015-16,0.73,8922,6513,41,0.64,6322,14941,0.32,CollegeInSight_Explore_CA.csv
