id,Year,Geography,Total Population,Male (%),Female (%),Bachelor's Degree (%),"Yearly Income, per Capita",Average Earnings (Male),Average Earnings (Female),Median Earnings (Male),Median Earnings (Female)
1,2017,Alabama,4874747,48.4,51.6,25.5,26498,62835,43556,48199,35414
2,2017,Alaska,739795,52.1,47.9,28.8,34222,70738,58311,57943,47472
3,2017,Arizona,7016270,49.7,50.3,29.4,29420,64911,50089,46681,39675
4,2017,Arkansas,3004279,49.3,50.7,23.4,25316,59137,41375,43266,34154
5,2017,California,39536653,49.7,50.3,33.6,35046,78557,62059,52487,46783
6,2017,Colorado,5607154,50.3,49.7,41.2,36345,75202,55498,54869,44733
7,2017,Connecticut,3588184,48.8,51.2,38.7,42029,94459,65932,62976,52120
8,2017,Delaware,961939,48.4,51.6,31.5,33887,73402,57569,54657,47052
9,2017,District of Columbia,693972,47.4,52.6,57.3,52500,105006,84731,74877,66679
10,2017,Florida,20984400,48.9,51.1,29.7,29838,62986,47414,42261,36746
11,2017,Georgia,10429379,48.6,51.4,30.9,29668,68251,49367,47114,38958
12,2017,Hawaii,1427538,50.2,49.8,32.9,33882,65214,51786,51594,41664
13,2017,Idaho,1716943,50.2,49.8,26.8,26386,61197,42016,46241,34665
14,2017,Illinois,12802023,49.2,50.8,34.4,34196,77453,55900,55585,43149
15,2017,Indiana,6666818,49.3,50.7,26.8,28323,64252,45822,50782,37167
16,2017,Iowa,3145711,49.7,50.3,28.9,30865,63585,46882,50295,39658
17,2017,Kansas,2913123,49.9,50.1,33.7,30146,64513,46465,49267,37931
18,2017,Kentucky,4454189,49.3,50.7,24,26779,60856,45148,46289,36487
19,2017,Louisiana,4684333,48.9,51.1,23.8,25885,64762,42652,50445,34708
20,2017,Maine,1335907,49,51,32.1,31088,60550,49703,49476,40618
21,2017,Maryland,6052177,48.5,51.5,39.7,39960,81981,65680,61263,52381
22,2017,Massachusetts,6859819,48.6,51.4,43.4,41821,91147,68519,65939,54646
23,2017,Michigan,9962311,49.3,50.7,29.1,30488,69179,50221,51749,40453
24,2017,Minnesota,5576606,49.9,50.1,36.1,36156,75650,57193,55812,45798
25,2017,Mississippi,2984100,48.5,51.5,21.9,23121,55150,40017,42287,32441
26,2017,Missouri,6113532,49.1,50.9,29.1,29438,63371,47280,47436,37339
27,2017,Montana,1050493,50.1,49.9,32.3,29428,59107,44131,45616,35964
28,2017,Nebraska,1920076,50,50,31.7,30915,63199,47197,50293,38726
29,2017,Nevada,2998039,50.2,49.8,24.9,30166,61703,48071,45439,37880
30,2017,New Hampshire,1342795,49.6,50.4,36.9,38237,77229,57746,57966,46044
31,2017,New Jersey,9005644,48.8,51.2,39.7,40567,91352,65973,64497,51538
32,2017,New Mexico,2088070,49.5,50.5,27.1,25311,57518,44253,42690,35523
33,2017,New York,19849399,48.6,51.4,36,37156,82900,63400,55636,48901
34,2017,North Carolina,10273419,48.7,51.3,31.3,29560,64574,48449,46289,38784
35,2017,North Dakota,755393,51.4,48.6,30.7,34041,66642,49627,51563,40964
36,2017,Ohio,11658609,49,51,28,30038,66098,48743,51000,39774
37,2017,Oklahoma,3930864,49.6,50.4,25.5,26472,61092,42881,46114,35488
38,2017,Oregon,4142776,49.6,50.4,33.7,31950,66971,53114,50965,41572
39,2017,Pennsylvania,12805537,49,51,31.4,32711,71792,53486,52111,41929
40,2017,Rhode Island,1059639,48.4,51.6,33.5,34511,72715,56781,55183,46146
41,2017,South Carolina,5024369,48.5,51.5,28,27909,62032,43835,45477,35142
42,2017,South Dakota,869666,50.4,49.6,28.1,29611,59957,43622,46170,35424
43,2017,Tennessee,6715984,48.7,51.3,27.3,28764,62991,46495,45032,36812
44,2017,Texas,28304596,49.7,50.3,29.6,29525,69201,49458,49414,40236
